Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Implicit Method,"clone()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,00,,,,
Package,"javax.annotation",javax/annotation/Generated.java,1,1,1,1,0,0,0,0,,,,6,0,0,5,,12,2,12,,0,0,0,12,,169,25,62,56,0,83,,,35,41,41,0,,,,,1,1,1,1,,0,,1,34,12,12,12,12
Public Annotation,"javax.annotation.Generated",javax/annotation/Generated.java,1,1,1,1,1,0,1,0,0,0,0,,0,0,,,3,0,3,3,0,0,0,3,,5,0,5,4,0,0,,,3,4,4,0,,,,,1,1,1,1,0,0,0,0,00,3,3,3,3
Public Abstract Method,"javax.annotation.Generated.comment()",javax/annotation/Generated.java,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,,,,,,0,,0,00,,,,
Public Abstract Method,"javax.annotation.Generated.date()",javax/annotation/Generated.java,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,,,,,,0,,0,00,,,,
Public Abstract Method,"javax.annotation.Generated.value()",javax/annotation/Generated.java,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,,,,,,0,,0,00,,,,
Public Annotation,"javax.annotation.PostConstruct",javax/annotation/PostConstruct.java,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,,3,0,2,1,0,1,,,0,1,1,0,,,,,0,0,0,0,0,0,0,0,50,0,0,0,0
Public Annotation,"javax.annotation.PreDestroy",javax/annotation/PreDestroy.java,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,,3,0,2,1,0,1,,,0,1,1,0,,,,,0,0,0,0,0,0,0,0,50,0,0,0,0
Public Annotation,"javax.annotation.Resource",javax/annotation/Resource.java,1,1,1,1,1,0,1,0,0,1,0,,0,0,,,6,0,6,6,0,0,0,6,,13,0,13,11,0,1,,,6,8,8,0,,,,,1,1,1,1,0,0,0,0,08,6,6,6,6
Public Enum Type,"javax.annotation.Resource.AuthenticationType",javax/annotation/Resource.java,1,1,1,1,0,0,0,0,1,0,0,,0,0,,,2,2,2,2,0,0,0,2,,4,0,4,3,0,0,,,0,1,1,0,,,,,1,1,1,1,2,0,100,0,00,2,2,2,2
Public Method,"javax.annotation.Resource.AuthenticationType.valueOf()",javax/annotation/Resource.java,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,,,,,,0,,0,00,,,,
