Commit, Kind, Name, File, AvgCyclomatic, AvgCyclomaticModified, AvgCyclomaticStrict, AvgEssential, AvgLine, AvgLineBlank, AvgLineCode, AvgLineComment, CountClassBase, CountClassCoupled, CountClassDerived, CountDeclClass, CountDeclClassMethod, CountDeclClassVariable, CountDeclFile, CountDeclFunction, CountDeclInstanceMethod, CountDeclInstanceVariable, CountDeclMethod, CountDeclMethodAll, CountDeclMethodDefault, CountDeclMethodPrivate, CountDeclMethodProtected, CountDeclMethodPublic, CountInput, CountLine, CountLineBlank, CountLineCode, CountLineCodeDecl, CountLineCodeExe, CountLineComment, CountOutput, CountPath, CountSemicolon, CountStmt, CountStmtDecl, CountStmtExe, Cyclomatic, CyclomaticModified, CyclomaticStrict, Essential, MaxCyclomatic, MaxCyclomaticModified, MaxCyclomaticStrict, MaxEssential, MaxInheritanceTree, MaxNesting, PercentLackOfCohesion, RatioCommentToCode, SumCyclomatic, SumCyclomaticModified, SumCyclomaticStrict, SumEssential
76ad46b488929aac2e848426be72eef044fd4b15,Private Method,org.apache.catalina.webresources.StandardRoot.checkPath(String),org/apache/catalina/webresources/StandardRoot.java,,,,,,,,,,,,,,,,,,,,,,,,,4,6,0,6,1,3,0,3,2,1,3,1,2,2,2,4,1,,,,,,1,,0,00,,,
0bccf76326ab1e272e9119f3fd3cd94b259f1b99,Private Method,org.apache.catalina.webresources.StandardRoot.checkPath(String),org/apache/catalina/webresources/StandardRoot.java,,,,,,,,,,,,,,,,,,,,,,,,,4,6,0,6,1,3,0,3,2,1,3,1,2,2,2,4,1,,,,,,1,,0,00,,,
3773e784cfaccfc9af8009542f075c9007750142,Private Method,org.apache.catalina.webresources.StandardRoot.checkPath(String),org/apache/catalina/webresources/StandardRoot.java,,,,,,,,,,,,,,,,,,,,,,,,,4,6,0,6,1,3,0,3,2,1,3,1,2,2,2,4,1,,,,,,1,,0,00,,,
3808a64a1c36a51ee3e42a037dfc0fdb17a27a25,Private Method,org.apache.catalina.webresources.StandardRoot.checkPath(String),org/apache/catalina/webresources/StandardRoot.java,,,,,,,,,,,,,,,,,,,,,,,,,4,6,0,6,1,3,0,3,2,1,3,1,2,2,2,4,1,,,,,,1,,0,00,,,
11549f478942e6c7eba2bba1d53eb9507c48a0ca,Private Method,org.apache.catalina.webresources.StandardRoot.checkPath(String),org/apache/catalina/webresources/StandardRoot.java,,,,,,,,,,,,,,,,,,,,,,,,,4,6,0,6,1,3,0,3,2,1,3,1,2,2,2,4,1,,,,,,1,,0,00,,,
e0fa069cfd9cb65bfa56c5e9168f9481d94b3f31,Private Method,org.apache.catalina.webresources.StandardRoot.checkPath(String),org/apache/catalina/webresources/StandardRoot.java,,,,,,,,,,,,,,,,,,,,,,,,,4,6,0,6,1,3,0,3,2,1,3,1,2,2,2,4,1,,,,,,1,,0,00,,,
995cccced0ae1f5d58b3987297a43bda7197a478,Private Method,org.apache.catalina.webresources.StandardRoot.checkPath(String),org/apache/catalina/webresources/StandardRoot.java,,,,,,,,,,,,,,,,,,,,,,,,,4,6,0,6,1,3,0,3,2,1,3,1,2,2,2,4,1,,,,,,1,,0,00,,,
e13953d8aaaeffa0f2028cadfd10127707e20b93,Private Method,org.apache.catalina.webresources.StandardRoot.checkPath(String),org/apache/catalina/webresources/StandardRoot.java,,,,,,,,,,,,,,,,,,,,,,,,,4,6,0,6,1,3,0,3,2,1,3,1,2,2,2,4,1,,,,,,1,,0,00,,,
95b5443aa5087395b274cde6c0d80f2bb8e102fd,Private Method,org.apache.catalina.webresources.StandardRoot.checkPath(String),org/apache/catalina/webresources/StandardRoot.java,,,,,,,,,,,,,,,,,,,,,,,,,4,6,0,6,1,3,0,3,2,1,3,1,2,2,2,4,1,,,,,,1,,0,00,,,
b20d49964465cd6b4a4b955a74d7df5e6a5da61b,Private Method,org.apache.catalina.webresources.StandardRoot.checkPath(String),org/apache/catalina/webresources/StandardRoot.java,,,,,,,,,,,,,,,,,,,,,,,,,4,6,0,6,1,3,0,3,2,1,3,1,2,2,2,4,1,,,,,,1,,0,00,,,
3690fabe51c7bd34a5d24c387fb725a812129cb4,Private Method,org.apache.catalina.webresources.StandardRoot.checkPath(String),org/apache/catalina/webresources/StandardRoot.java,,,,,,,,,,,,,,,,,,,,,,,,,4,6,0,6,1,3,0,3,2,1,3,1,2,2,2,4,1,,,,,,1,,0,00,,,
9b51e07e29e4b9f62a4bc834199e00d061b9e3b3,Private Method,org.apache.catalina.webresources.StandardRoot.checkPath(String),org/apache/catalina/webresources/StandardRoot.java,,,,,,,,,,,,,,,,,,,,,,,,,4,6,0,6,1,3,0,3,2,1,3,1,2,2,2,4,1,,,,,,1,,0,00,,,
