Commit, Kind, Name, File, AvgCyclomatic, AvgCyclomaticModified, AvgCyclomaticStrict, AvgEssential, AvgLine, AvgLineBlank, AvgLineCode, AvgLineComment, CountClassBase, CountClassCoupled, CountClassDerived, CountDeclClass, CountDeclClassMethod, CountDeclClassVariable, CountDeclFile, CountDeclFunction, CountDeclInstanceMethod, CountDeclInstanceVariable, CountDeclMethod, CountDeclMethodAll, CountDeclMethodDefault, CountDeclMethodPrivate, CountDeclMethodProtected, CountDeclMethodPublic, CountInput, CountLine, CountLineBlank, CountLineCode, CountLineCodeDecl, CountLineCodeExe, CountLineComment, CountOutput, CountPath, CountSemicolon, CountStmt, CountStmtDecl, CountStmtExe, Cyclomatic, CyclomaticModified, CyclomaticStrict, Essential, MaxCyclomatic, MaxCyclomaticModified, MaxCyclomaticStrict, MaxEssential, MaxInheritanceTree, MaxNesting, PercentLackOfCohesion, RatioCommentToCode, SumCyclomatic, SumCyclomaticModified, SumCyclomaticStrict, SumEssential
e4c0a23134cc46defa62a57f0e03aa2748af3f40,Protected Method,org.apache.catalina.webresources.StandardRoot.getResourceInternal(String,boolean),org/apache/catalina/webresources/StandardRoot.java,,,,,,,,,,,,,,,,,,,,,,,,,6,26,2,22,4,13,2,6,11,7,16,5,11,7,7,9,6,,,,,,4,,0,09,,,
96552afbfaa37fff88bf64d59e25b145df538dd3,Protected Method,org.apache.catalina.webresources.StandardRoot.getResourceInternal(String,boolean),org/apache/catalina/webresources/StandardRoot.java,,,,,,,,,,,,,,,,,,,,,,,,,6,26,2,22,4,13,2,6,11,7,16,5,11,7,7,9,6,,,,,,4,,0,09,,,
61bdcd490551092645cf0daf26a5e6157ecb98fb,Protected Method,org.apache.catalina.webresources.StandardRoot.getResourceInternal(String,boolean),org/apache/catalina/webresources/StandardRoot.java,,,,,,,,,,,,,,,,,,,,,,,,,6,26,2,22,4,13,2,6,11,7,16,5,11,7,7,9,6,,,,,,4,,0,09,,,
477e67f44506a2daae4a6d911fd06084309dc70d,Protected Method,org.apache.catalina.webresources.StandardRoot.getResourceInternal(String,boolean),org/apache/catalina/webresources/StandardRoot.java,,,,,,,,,,,,,,,,,,,,,,,,,6,26,2,22,4,13,2,6,11,7,16,5,11,7,7,9,6,,,,,,4,,0,09,,,
54ada68b23b7d56d891a16c136010ac3f91074d6,Protected Method,org.apache.catalina.webresources.StandardRoot.getResourceInternal(String,boolean),org/apache/catalina/webresources/StandardRoot.java,,,,,,,,,,,,,,,,,,,,,,,,,6,26,2,22,4,13,2,6,11,7,16,5,11,7,7,9,6,,,,,,4,,0,09,,,
98294c532657cadd8042b18fb45788fbabd84aef,Protected Method,org.apache.catalina.webresources.StandardRoot.getResourceInternal(String,boolean),org/apache/catalina/webresources/StandardRoot.java,,,,,,,,,,,,,,,,,,,,,,,,,6,26,2,22,4,13,2,6,11,7,16,5,11,7,7,9,6,,,,,,4,,0,09,,,
28c07a5728e6db10b9bfc77556d7a547fb7a94b8,Protected Method,org.apache.catalina.webresources.StandardRoot.getResourceInternal(String,boolean),org/apache/catalina/webresources/StandardRoot.java,,,,,,,,,,,,,,,,,,,,,,,,,6,26,2,22,4,13,2,6,11,7,16,5,11,7,7,9,6,,,,,,4,,0,09,,,
7a385166516b52d150ec8fd5665e30d69178eb5e,Protected Method,org.apache.catalina.webresources.StandardRoot.getResourceInternal(String,boolean),org/apache/catalina/webresources/StandardRoot.java,,,,,,,,,,,,,,,,,,,,,,,,,6,26,2,22,4,13,2,6,11,7,16,5,11,7,7,9,6,,,,,,4,,0,09,,,
213164bee39bce494b5ce14adf54472eb2d2abcc,Protected Method,org.apache.catalina.webresources.StandardRoot.getResourceInternal(String,boolean),org/apache/catalina/webresources/StandardRoot.java,,,,,,,,,,,,,,,,,,,,,,,,,6,26,2,22,4,13,2,6,11,7,16,5,11,7,7,9,6,,,,,,4,,0,09,,,
f9629e5f3c6f7053127dda543e0db7a3d41a8278,Protected Method,org.apache.catalina.webresources.StandardRoot.getResourceInternal(String,boolean),org/apache/catalina/webresources/StandardRoot.java,,,,,,,,,,,,,,,,,,,,,,,,,6,26,2,22,4,13,2,6,11,7,16,5,11,7,7,9,6,,,,,,4,,0,09,,,
72af3f24114c34cb0cc041bab851b7ce29945bef,Protected Method,org.apache.catalina.webresources.StandardRoot.getResourceInternal(String,boolean),org/apache/catalina/webresources/StandardRoot.java,,,,,,,,,,,,,,,,,,,,,,,,,6,26,2,22,4,13,2,6,11,7,16,5,11,7,7,9,6,,,,,,4,,0,09,,,
d27eadd248165b178fdc368330143259bc32429a,Protected Method,org.apache.catalina.webresources.StandardRoot.getResourceInternal(String,boolean),org/apache/catalina/webresources/StandardRoot.java,,,,,,,,,,,,,,,,,,,,,,,,,6,26,2,22,4,13,2,6,11,7,16,5,11,7,7,9,6,,,,,,4,,0,09,,,
aeb741263adae6fb523636f84dfdc513779f3730,Protected Method,org.apache.catalina.webresources.StandardRoot.getResourceInternal(String,boolean),org/apache/catalina/webresources/StandardRoot.java,,,,,,,,,,,,,,,,,,,,,,,,,6,26,2,22,4,13,2,6,11,7,16,5,11,7,7,9,6,,,,,,4,,0,09,,,
f86337bdad81da34b4c8c238e55833bceace4b90,Protected Method,org.apache.catalina.webresources.StandardRoot.getResourceInternal(String,boolean),org/apache/catalina/webresources/StandardRoot.java,,,,,,,,,,,,,,,,,,,,,,,,,6,26,2,22,4,13,2,6,11,7,16,5,11,7,7,9,6,,,,,,4,,0,09,,,
b7e0635dc5315883a10ef453506ba83480ddfb46,Protected Method,org.apache.catalina.webresources.StandardRoot.getResourceInternal(String,boolean),org/apache/catalina/webresources/StandardRoot.java,,,,,,,,,,,,,,,,,,,,,,,,,6,26,2,22,4,13,2,6,11,7,16,5,11,7,7,9,6,,,,,,4,,0,09,,,
0ada4d6316c7806f61da1489af15b11a7a30a4a4,Protected Method,org.apache.catalina.webresources.StandardRoot.getResourceInternal(String,boolean),org/apache/catalina/webresources/StandardRoot.java,,,,,,,,,,,,,,,,,,,,,,,,,6,26,2,22,4,13,2,6,11,7,16,5,11,7,7,9,6,,,,,,4,,0,09,,,
ba6c877e071d655077b841e3642beff5932c930c,Protected Method,org.apache.catalina.webresources.StandardRoot.getResourceInternal(String,boolean),org/apache/catalina/webresources/StandardRoot.java,,,,,,,,,,,,,,,,,,,,,,,,,6,26,2,22,4,13,2,6,11,7,16,5,11,7,7,9,6,,,,,,4,,0,09,,,
e87c2dcf93d662d96bfea19bc54fc0f8d4cb04fe,Protected Method,org.apache.catalina.webresources.StandardRoot.getResourceInternal(String,boolean),org/apache/catalina/webresources/StandardRoot.java,,,,,,,,,,,,,,,,,,,,,,,,,6,26,2,22,4,13,2,6,11,7,16,5,11,7,7,9,6,,,,,,4,,0,09,,,
c069a44794c310f4cd4db10e0a2bdaa9d4a3a63e,Protected Method,org.apache.catalina.webresources.StandardRoot.getResourceInternal(String,boolean),org/apache/catalina/webresources/StandardRoot.java,,,,,,,,,,,,,,,,,,,,,,,,,6,26,2,22,4,13,2,6,11,7,16,5,11,7,7,9,6,,,,,,4,,0,09,,,
4c59ff32aa34f630e4abab226e966810e398201f,Protected Method,org.apache.catalina.webresources.StandardRoot.getResourceInternal(String,boolean),org/apache/catalina/webresources/StandardRoot.java,,,,,,,,,,,,,,,,,,,,,,,,,6,26,2,22,4,13,2,6,11,7,16,5,11,7,7,9,6,,,,,,4,,0,09,,,
