Commit, Kind, Name, File, AvgCyclomatic, AvgCyclomaticModified, AvgCyclomaticStrict, AvgEssential, AvgLine, AvgLineBlank, AvgLineCode, AvgLineComment, CountClassBase, CountClassCoupled, CountClassDerived, CountDeclClass, CountDeclClassMethod, CountDeclClassVariable, CountDeclFile, CountDeclFunction, CountDeclInstanceMethod, CountDeclInstanceVariable, CountDeclMethod, CountDeclMethodAll, CountDeclMethodDefault, CountDeclMethodPrivate, CountDeclMethodProtected, CountDeclMethodPublic, CountInput, CountLine, CountLineBlank, CountLineCode, CountLineCodeDecl, CountLineCodeExe, CountLineComment, CountOutput, CountPath, CountSemicolon, CountStmt, CountStmtDecl, CountStmtExe, Cyclomatic, CyclomaticModified, CyclomaticStrict, Essential, MaxCyclomatic, MaxCyclomaticModified, MaxCyclomaticStrict, MaxEssential, MaxInheritanceTree, MaxNesting, PercentLackOfCohesion, RatioCommentToCode, SumCyclomatic, SumCyclomaticModified, SumCyclomaticStrict, SumEssential
84874da7aa2a59cbf703cc00a9fb121f437b47da,Protected Method,org.apache.coyote.ajp.AbstractAjpProcessor.prepareResponse(),org/apache/coyote/ajp/AbstractAjpProcessor.java,,,,,,,,,,,,,,,,,,,,,,,,,10,65,6,50,11,38,9,26,192,2,29,38,11,27,9,9,10,1,1,,,,,0,,2,0,,0.18
79da04b756ccc52d664c8cfee65366ea5b5f14f5,Protected Method,org.apache.coyote.ajp.AbstractAjpProcessor.prepareResponse(),org/apache/coyote/ajp/AbstractAjpProcessor.java,,,,,,,,,,,,,,,,,,,,,,,,,10,65,6,50,11,38,9,26,192,2,29,38,11,27,9,9,10,1,1,,,,,0,,2,0,,0.18
c750c4bc1219c73d13eab31d172139381e0ffeaf,Protected Method,org.apache.coyote.ajp.AbstractAjpProcessor.prepareResponse(),org/apache/coyote/ajp/AbstractAjpProcessor.java,,,,,,,,,,,,,,,,,,,,,,,,,10,65,6,50,11,38,9,26,192,2,29,38,11,27,9,9,10,1,1,,,,,0,,2,0,,0.18
ff979ed54eb7a625c63caa3b24da9fab37df56ea,Protected Method,org.apache.coyote.ajp.AbstractAjpProcessor.prepareResponse(),org/apache/coyote/ajp/AbstractAjpProcessor.java,,,,,,,,,,,,,,,,,,,,,,,,,10,65,6,50,11,38,9,26,192,2,29,38,11,27,9,9,10,1,1,,,,,0,,2,0,,0.18
64afbebefc6b34414989e248a5cf1e5cb94e8781,Protected Method,org.apache.coyote.ajp.AbstractAjpProcessor.prepareResponse(),org/apache/coyote/ajp/AbstractAjpProcessor.java,,,,,,,,,,,,,,,,,,,,,,,,,10,65,6,50,11,38,9,26,192,2,29,38,11,27,9,9,10,1,1,,,,,0,,2,0,,0.18
6cb1008c9021da223f47a2c03d0a2146e1deb91e,Protected Method,org.apache.coyote.ajp.AbstractAjpProcessor.prepareResponse(),org/apache/coyote/ajp/AbstractAjpProcessor.java,,,,,,,,,,,,,,,,,,,,,,,,,10,65,6,50,11,38,9,26,192,2,29,38,11,27,9,9,10,1,1,,,,,0,,2,0,,0.18
5b93427ddc521f9d9ca3ed4e9766490b839334c1,Protected Method,org.apache.coyote.ajp.AbstractAjpProcessor.prepareResponse(),org/apache/coyote/ajp/AbstractAjpProcessor.java,,,,,,,,,,,,,,,,,,,,,,,,,10,65,6,50,11,38,9,26,192,2,29,38,11,27,9,9,10,1,1,,,,,0,,2,0,,0.18
39157c349415df626f1192879703dd9bf23d1c49,Protected Method,org.apache.coyote.ajp.AbstractAjpProcessor.prepareResponse(),org/apache/coyote/ajp/AbstractAjpProcessor.java,,,,,,,,,,,,,,,,,,,,,,,,,10,65,6,50,11,38,9,26,192,2,29,38,11,27,9,9,10,1,1,,,,,0,,2,0,,0.18
a9edfc560100d8e12f70821a4fcd9cab1dcfe112,Protected Method,org.apache.coyote.ajp.AbstractAjpProcessor.prepareResponse(),org/apache/coyote/ajp/AbstractAjpProcessor.java,,,,,,,,,,,,,,,,,,,,,,,,,10,65,6,50,11,38,9,26,192,2,29,38,11,27,9,9,10,1,1,,,,,0,,2,0,,0.18
5d3c0bd8c5aba99826870cae5f730c6e1c2f009c,Protected Method,org.apache.coyote.ajp.AbstractAjpProcessor.prepareResponse(),org/apache/coyote/ajp/AbstractAjpProcessor.java,,,,,,,,,,,,,,,,,,,,,,,,,10,65,6,50,11,38,9,26,192,2,29,38,11,27,9,9,10,1,1,,,,,0,,2,0,,0.18
