Commit, Kind, Name, File, AvgCyclomatic, AvgCyclomaticModified, AvgCyclomaticStrict, AvgEssential, AvgLine, AvgLineBlank, AvgLineCode, AvgLineComment, CountClassBase, CountClassCoupled, CountClassDerived, CountDeclClass, CountDeclClassMethod, CountDeclClassVariable, CountDeclFile, CountDeclFunction, CountDeclInstanceMethod, CountDeclInstanceVariable, CountDeclMethod, CountDeclMethodAll, CountDeclMethodDefault, CountDeclMethodPrivate, CountDeclMethodProtected, CountDeclMethodPublic, CountInput, CountLine, CountLineBlank, CountLineCode, CountLineCodeDecl, CountLineCodeExe, CountLineComment, CountOutput, CountPath, CountSemicolon, CountStmt, CountStmtDecl, CountStmtExe, Cyclomatic, CyclomaticModified, CyclomaticStrict, Essential, MaxCyclomatic, MaxCyclomaticModified, MaxCyclomaticStrict, MaxEssential, MaxInheritanceTree, MaxNesting, PercentLackOfCohesion, RatioCommentToCode, SumCyclomatic, SumCyclomaticModified, SumCyclomaticStrict, SumEssential
d41ba906505afaa44e5c47d4c72afb41f13b18ba,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
708f04746d073d5b5638cf51cc5c74f8ad277ff8,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
5dda14b304e25175f37e079e1aef5b5fafb12c93,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
3b0019c3da9adfd1e042d79d6fc076d72ff0167b,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
f2fe05fd7a4dcaf69df85ed307e10379cb1b25cd,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
c07edaa739237b9cef428fcc3248cf018d2bf5f6,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
8e99c6187f91a7728d9a08505a62cae5ee1f9cfe,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
02279fdd869e4108009d91dab785332e0b8248e3,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
88db793a0e572ada1e8a92b2abe5f9e9572bb059,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
d9d1eb3122417b2fddfdf95a9b7c5a6b9f78df41,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
0f78fd1fa1c11cbb0083df7d6f287745ed91129f,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
f6fbd32e0557bdb6c4c89704d592d2baea27d399,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
478be0485b8bc61bef4d844e6b6558dabfee3753,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
7a6a4801d2898c266729df18d35e57c2678e12ab,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
0ee25367f590397a0178d5a75aa85928c644711e,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
b5039a526e1a454511fbbfd8b210a55961a11807,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
e37abbea77c1c069d3ea5ee0db59068657390584,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
17f80aa88e1fcba6f9d51f784465b0905dac01fd,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
29f8bfbb12ed5cab29786675113b5befe20f8dc9,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
3c56bf012a3b92e93bc567d98b198fbfa2ad9f4d,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
ca629eb29eb4bf18388036cbda76f69ade5f69ef,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
85834f594d1de4d2dbad07a5f6cd90cc3ba864de,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
7456cb629533b914869765c9d6e3138f6eeecfcd,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
93244ae949c7199429badfa0f9803698303cee7b,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
003c7fea712ccb00b197b7b27e052cb4ccfa4535,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
356e6b0ff2004d17cee37098700de8f71da759d9,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
2d909c07db303d1ddd99fcd2018c99a739e53066,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
43dc58a400b2d967d640fe11771f4cb80fb9960f,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
c0f1d21930b468af0732498ca88a83f51714f050,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
c05ad641e54bb5d903e3f0f1fb4d6f04a5c1c570,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
6384776a0b7bf7dd2f8274790d4048d3bbf9d904,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
51065de6277c257e787052f26d9c162acc4f0a79,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
95377b3edca609f6b4b5343cac24c0d994ed28fb,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
a0a1cb56f4a2f2bd7ff1c089d38ea1c6f7ca1d61,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
fee97b454e7f26c2470482a39816c3ee70ee1197,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
4c89daf1ca74c39c491932027188d3739523e54e,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
871a85cbc181b39b506c351bed72ff3e7a31ce77,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
aedb05341f5ab8262ddd113e1bf9fe02bb37c735,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
29b1d588783a2a83fc0e4c029c180cd1c7aab92a,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
de635a1cf16fd59f5152cad2c82280a0f69f03d9,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
e84a6a978085c5e4fb6575550959e4ed38228a0a,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
bedf7bd46c04e1b92e7922c89abc19ea1b0e5c7e,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
72f6f2c6cac388abc5f72947d588dd1e0e19ef6f,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
809001aa3b438ea06f9ab059616b94b430bd5e18,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
e0259bb2b5102b451a383c23eeeee422c0df62dc,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
18d8056341b4170271b2ac1a61a28441aac0fa98,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
3a2ec91659dbfb612fbba1250281b5ebc9ed1216,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
135a74272333c4fc6092a2ee8e8b96a028f3a909,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
2e571d9044a88ce3177754f2f9d91a6200947ce8,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
aeeb8c1b6dc422fb94abda30878e40d9473a7fac,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
3ea968bf9d312e4681d61a62771697a6b501fdc9,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
be7c5641dbd0c8d136b19fcc9d8ba9db79bea0cb,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
0dee14546ac2dc65c814f0eebae1eaf45f4aa1d4,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
d950a4d6c8065235b013295bb9cfaa03bb3a7d2b,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
7c36953583c8e213982557b52ce2bc56da8c97e5,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
90d3a978e7a2631f2ad57ee4c36e99ac9bc39eec,Public Method,org.apache.coyote.ajp.AjpAprProtocol.stop(),org/apache/coyote/ajp/AjpAprProtocol.java,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,7,0,6,4,1,4,7,1,6,3,3,3,1,1,,,,,0,,1,0,,0.00
