Commit, Kind, Name, File, AvgCyclomatic, AvgCyclomaticModified, AvgCyclomaticStrict, AvgEssential, AvgLine, AvgLineBlank, AvgLineCode, AvgLineComment, CountClassBase, CountClassCoupled, CountClassDerived, CountDeclClass, CountDeclClassMethod, CountDeclClassVariable, CountDeclFile, CountDeclFunction, CountDeclInstanceMethod, CountDeclInstanceVariable, CountDeclMethod, CountDeclMethodAll, CountDeclMethodDefault, CountDeclMethodPrivate, CountDeclMethodProtected, CountDeclMethodPublic, CountInput, CountLine, CountLineBlank, CountLineCode, CountLineCodeDecl, CountLineCodeExe, CountLineComment, CountOutput, CountPath, CountSemicolon, CountStmt, CountStmtDecl, CountStmtExe, Cyclomatic, CyclomaticModified, CyclomaticStrict, Essential, MaxCyclomatic, MaxCyclomaticModified, MaxCyclomaticStrict, MaxEssential, MaxInheritanceTree, MaxNesting, PercentLackOfCohesion, RatioCommentToCode, SumCyclomatic, SumCyclomaticModified, SumCyclomaticStrict, SumEssential
3fb75f1262e82cd8c56c32d9bf6c1b694d308e7c,Protected Method,org.apache.coyote.http11.AbstractHttp11Processor.prepareRequest(),org/apache/coyote/http11/AbstractHttp11Processor.java,,,,,,,,,,,,,,,,,,,,,,,,,21,201,18,155,23,128,29,50,14745600,7,78,110,23,87,32,32,38,1,6,,,,,0,,3,0,,0.19
bb8b150a718099ddcb995b22a64bf0d3dc09d869,Protected Method,org.apache.coyote.http11.AbstractHttp11Processor.prepareRequest(),org/apache/coyote/http11/AbstractHttp11Processor.java,,,,,,,,,,,,,,,,,,,,,,,,,21,201,18,155,23,128,29,50,14745600,7,78,110,23,87,32,32,38,1,6,,,,,0,,3,0,,0.19
347e5221d901a92c2091d1c7d213b0d87ae93c7d,Protected Method,org.apache.coyote.http11.AbstractHttp11Processor.prepareRequest(),org/apache/coyote/http11/AbstractHttp11Processor.java,,,,,,,,,,,,,,,,,,,,,,,,,21,201,18,155,23,128,29,50,14745600,7,78,110,23,87,32,32,38,1,6,,,,,0,,3,0,,0.19
95e1957b4c1ded14cf47112251a8688a632ef72f,Protected Method,org.apache.coyote.http11.AbstractHttp11Processor.prepareRequest(),org/apache/coyote/http11/AbstractHttp11Processor.java,,,,,,,,,,,,,,,,,,,,,,,,,21,201,18,155,23,128,29,50,14745600,7,78,110,23,87,32,32,38,1,6,,,,,0,,3,0,,0.19
2a73de8348decddf7bded5c86d553ec524dfc586,Protected Method,org.apache.coyote.http11.AbstractHttp11Processor.prepareRequest(),org/apache/coyote/http11/AbstractHttp11Processor.java,,,,,,,,,,,,,,,,,,,,,,,,,21,201,18,155,23,128,29,50,14745600,7,78,110,23,87,32,32,38,1,6,,,,,0,,3,0,,0.19
af4556ed4a2498ecdfc1db92c523c76e1c4a445e,Protected Method,org.apache.coyote.http11.AbstractHttp11Processor.prepareRequest(),org/apache/coyote/http11/AbstractHttp11Processor.java,,,,,,,,,,,,,,,,,,,,,,,,,21,201,18,155,23,128,29,50,14745600,7,78,110,23,87,32,32,38,1,6,,,,,0,,3,0,,0.19
6ec4aa72751b5bb7b760389177852055491cbf11,Protected Method,org.apache.coyote.http11.AbstractHttp11Processor.prepareRequest(),org/apache/coyote/http11/AbstractHttp11Processor.java,,,,,,,,,,,,,,,,,,,,,,,,,21,201,18,155,23,128,29,50,14745600,7,78,110,23,87,32,32,38,1,6,,,,,0,,3,0,,0.19
639dcc09eef84ba74e41c9df29dae5faa90d83b3,Protected Method,org.apache.coyote.http11.AbstractHttp11Processor.prepareRequest(),org/apache/coyote/http11/AbstractHttp11Processor.java,,,,,,,,,,,,,,,,,,,,,,,,,21,201,18,155,23,128,29,50,14745600,7,78,110,23,87,32,32,38,1,6,,,,,0,,3,0,,0.19
50c3d7fae9377f29c03b2f1e869cc5720380465e,Protected Method,org.apache.coyote.http11.AbstractHttp11Processor.prepareRequest(),org/apache/coyote/http11/AbstractHttp11Processor.java,,,,,,,,,,,,,,,,,,,,,,,,,21,201,18,155,23,128,29,50,14745600,7,78,110,23,87,32,32,38,1,6,,,,,0,,3,0,,0.19
56a48f5c3abc59339533d9f17f51d1300736c25d,Protected Method,org.apache.coyote.http11.AbstractHttp11Processor.prepareRequest(),org/apache/coyote/http11/AbstractHttp11Processor.java,,,,,,,,,,,,,,,,,,,,,,,,,21,201,18,155,23,128,29,50,14745600,7,78,110,23,87,32,32,38,1,6,,,,,0,,3,0,,0.19
1f61df59d6d7f2ea34f9f2f9da0246804df1649d,Protected Method,org.apache.coyote.http11.AbstractHttp11Processor.prepareRequest(),org/apache/coyote/http11/AbstractHttp11Processor.java,,,,,,,,,,,,,,,,,,,,,,,,,21,201,18,155,23,128,29,50,14745600,7,78,110,23,87,32,32,38,1,6,,,,,0,,3,0,,0.19
89ac16218bec02f75c07bd5db9d359eecdd3e7a2,Protected Method,org.apache.coyote.http11.AbstractHttp11Processor.prepareRequest(),org/apache/coyote/http11/AbstractHttp11Processor.java,,,,,,,,,,,,,,,,,,,,,,,,,21,201,18,155,23,128,29,50,14745600,7,78,110,23,87,32,32,38,1,6,,,,,0,,3,0,,0.19
dd6e6338dc7cfc620e4b3045f111d8b0a7ec72ae,Protected Method,org.apache.coyote.http11.AbstractHttp11Processor.prepareRequest(),org/apache/coyote/http11/AbstractHttp11Processor.java,,,,,,,,,,,,,,,,,,,,,,,,,21,201,18,155,23,128,29,50,14745600,7,78,110,23,87,32,32,38,1,6,,,,,0,,3,0,,0.19
67b0e34631650b6a7892cea66c6fbce3fa763089,Protected Method,org.apache.coyote.http11.AbstractHttp11Processor.prepareRequest(),org/apache/coyote/http11/AbstractHttp11Processor.java,,,,,,,,,,,,,,,,,,,,,,,,,21,201,18,155,23,128,29,50,14745600,7,78,110,23,87,32,32,38,1,6,,,,,0,,3,0,,0.19
8f28cb71a284f97b4273154554c4f7eaa48433d7,Protected Method,org.apache.coyote.http11.AbstractHttp11Processor.prepareRequest(),org/apache/coyote/http11/AbstractHttp11Processor.java,,,,,,,,,,,,,,,,,,,,,,,,,21,201,18,155,23,128,29,50,14745600,7,78,110,23,87,32,32,38,1,6,,,,,0,,3,0,,0.19
2928bcaf5ed18565de759b8079f0e0cca54c92e2,Protected Method,org.apache.coyote.http11.AbstractHttp11Processor.prepareRequest(),org/apache/coyote/http11/AbstractHttp11Processor.java,,,,,,,,,,,,,,,,,,,,,,,,,21,201,18,155,23,128,29,50,14745600,7,78,110,23,87,32,32,38,1,6,,,,,0,,3,0,,0.19
e70dbe06a4214080411b2858dd0f70838129bcc4,Protected Method,org.apache.coyote.http11.AbstractHttp11Processor.prepareRequest(),org/apache/coyote/http11/AbstractHttp11Processor.java,,,,,,,,,,,,,,,,,,,,,,,,,21,201,18,155,23,128,29,50,14745600,7,78,110,23,87,32,32,38,1,6,,,,,0,,3,0,,0.19
278b5af1f998be98beb436f6b4f9faa1cc03b1e9,Protected Method,org.apache.coyote.http11.AbstractHttp11Processor.prepareRequest(),org/apache/coyote/http11/AbstractHttp11Processor.java,,,,,,,,,,,,,,,,,,,,,,,,,21,201,18,155,23,128,29,50,14745600,7,78,110,23,87,32,32,38,1,6,,,,,0,,3,0,,0.19
749a497020b20ca0e174f9994f8e199732c10b67,Protected Method,org.apache.coyote.http11.AbstractHttp11Processor.prepareRequest(),org/apache/coyote/http11/AbstractHttp11Processor.java,,,,,,,,,,,,,,,,,,,,,,,,,21,201,18,155,23,128,29,50,14745600,7,78,110,23,87,32,32,38,1,6,,,,,0,,3,0,,0.19
fdd6117bf6d69a8d82056b815855f8ee54bee836,Protected Method,org.apache.coyote.http11.AbstractHttp11Processor.prepareRequest(),org/apache/coyote/http11/AbstractHttp11Processor.java,,,,,,,,,,,,,,,,,,,,,,,,,21,201,18,155,23,128,29,50,14745600,7,78,110,23,87,32,32,38,1,6,,,,,0,,3,0,,0.19
