Commit, Kind, Name, File, AvgCyclomatic, AvgCyclomaticModified, AvgCyclomaticStrict, AvgEssential, AvgLine, AvgLineBlank, AvgLineCode, AvgLineComment, CountClassBase, CountClassCoupled, CountClassDerived, CountDeclClass, CountDeclClassMethod, CountDeclClassVariable, CountDeclFile, CountDeclFunction, CountDeclInstanceMethod, CountDeclInstanceVariable, CountDeclMethod, CountDeclMethodAll, CountDeclMethodDefault, CountDeclMethodPrivate, CountDeclMethodProtected, CountDeclMethodPublic, CountInput, CountLine, CountLineBlank, CountLineCode, CountLineCodeDecl, CountLineCodeExe, CountLineComment, CountOutput, CountPath, CountSemicolon, CountStmt, CountStmtDecl, CountStmtExe, Cyclomatic, CyclomaticModified, CyclomaticStrict, Essential, MaxCyclomatic, MaxCyclomaticModified, MaxCyclomaticStrict, MaxEssential, MaxInheritanceTree, MaxNesting, PercentLackOfCohesion, RatioCommentToCode, SumCyclomatic, SumCyclomaticModified, SumCyclomaticStrict, SumEssential
d58c2f63788ab2bd18b6b254810bf069ce4641ca,Private Method,org.apache.derby.impl.jdbc.EmbedConnection.checkIsDBOwner(int),engine/org/apache/derby/impl/jdbc/EmbedConnection.java,,,,,,,,,,,,,,,,,,,,,,,,,9,31,0,24,5,18,7,9,7,1,7,11,4,7,5,4,5,4,0,,,,,0,,3,0,,0.29
968517b0814a3194b69c0a2b56ace28e4b669992,Private Method,org.apache.derby.impl.jdbc.EmbedConnection.checkIsDBOwner(int),engine/org/apache/derby/impl/jdbc/EmbedConnection.java,,,,,,,,,,,,,,,,,,,,,,,,,9,31,0,24,5,18,7,9,7,1,7,11,4,7,5,4,5,4,0,,,,,0,,3,0,,0.29
fa86ffdd2daa13193b6e7ad18083e5c8f720ae71,Private Method,org.apache.derby.impl.jdbc.EmbedConnection.checkIsDBOwner(int),engine/org/apache/derby/impl/jdbc/EmbedConnection.java,,,,,,,,,,,,,,,,,,,,,,,,,9,31,0,24,5,18,7,9,7,1,7,11,4,7,5,4,5,4,0,,,,,0,,3,0,,0.29
2dd7c1a7db8ae3726f375c0c70ab1733a0a9eddc,Private Method,org.apache.derby.impl.jdbc.EmbedConnection.checkIsDBOwner(int),engine/org/apache/derby/impl/jdbc/EmbedConnection.java,,,,,,,,,,,,,,,,,,,,,,,,,9,31,0,24,5,18,7,9,7,1,7,11,4,7,5,4,5,4,0,,,,,0,,3,0,,0.29
3a73f29fd9b8854773227f6008bab4ef43d6240d,Private Method,org.apache.derby.impl.jdbc.EmbedConnection.checkIsDBOwner(int),engine/org/apache/derby/impl/jdbc/EmbedConnection.java,,,,,,,,,,,,,,,,,,,,,,,,,9,31,0,24,5,18,7,9,7,1,7,11,4,7,5,4,5,4,0,,,,,0,,3,0,,0.29
da5e0d4957f436c004331a9db5ac71acbe8b63bc,Private Method,org.apache.derby.impl.jdbc.EmbedConnection.checkIsDBOwner(int),engine/org/apache/derby/impl/jdbc/EmbedConnection.java,,,,,,,,,,,,,,,,,,,,,,,,,9,31,0,24,5,18,7,9,7,1,7,11,4,7,5,4,5,4,0,,,,,0,,3,0,,0.29
88d2cd6894daa7b8e487846ed167ce8f2fe37d8a,Private Method,org.apache.derby.impl.jdbc.EmbedConnection.checkIsDBOwner(int),engine/org/apache/derby/impl/jdbc/EmbedConnection.java,,,,,,,,,,,,,,,,,,,,,,,,,9,31,0,24,5,18,7,9,7,1,7,11,4,7,5,4,5,4,0,,,,,0,,3,0,,0.29
fbe5c9b51cd1db942cafdc7bc7b9153afe3c3763,Private Method,org.apache.derby.impl.jdbc.EmbedConnection.checkIsDBOwner(int),engine/org/apache/derby/impl/jdbc/EmbedConnection.java,,,,,,,,,,,,,,,,,,,,,,,,,9,31,0,24,5,18,7,9,7,1,7,11,4,7,5,4,5,4,0,,,,,0,,3,0,,0.29
33a14a21cc5f42b599dd96b0a744f062f7791790,Private Method,org.apache.derby.impl.jdbc.EmbedConnection.checkIsDBOwner(int),engine/org/apache/derby/impl/jdbc/EmbedConnection.java,,,,,,,,,,,,,,,,,,,,,,,,,9,31,0,24,5,18,7,9,7,1,7,11,4,7,5,4,5,4,0,,,,,0,,3,0,,0.29
e65274c08988d9e07f7cc9a47ae57b5408d4000c,Private Method,org.apache.derby.impl.jdbc.EmbedConnection.checkIsDBOwner(int),engine/org/apache/derby/impl/jdbc/EmbedConnection.java,,,,,,,,,,,,,,,,,,,,,,,,,9,31,0,24,5,18,7,9,7,1,7,11,4,7,5,4,5,4,0,,,,,0,,3,0,,0.29
