Commit, Kind, Name, File, AvgCyclomatic, AvgCyclomaticModified, AvgCyclomaticStrict, AvgEssential, AvgLine, AvgLineBlank, AvgLineCode, AvgLineComment, CountClassBase, CountClassCoupled, CountClassDerived, CountDeclClass, CountDeclClassMethod, CountDeclClassVariable, CountDeclFile, CountDeclFunction, CountDeclInstanceMethod, CountDeclInstanceVariable, CountDeclMethod, CountDeclMethodAll, CountDeclMethodDefault, CountDeclMethodPrivate, CountDeclMethodProtected, CountDeclMethodPublic, CountInput, CountLine, CountLineBlank, CountLineCode, CountLineCodeDecl, CountLineCodeExe, CountLineComment, CountOutput, CountPath, CountSemicolon, CountStmt, CountStmtDecl, CountStmtExe, Cyclomatic, CyclomaticModified, CyclomaticStrict, Essential, MaxCyclomatic, MaxCyclomaticModified, MaxCyclomaticStrict, MaxEssential, MaxInheritanceTree, MaxNesting, PercentLackOfCohesion, RatioCommentToCode, SumCyclomatic, SumCyclomaticModified, SumCyclomaticStrict, SumEssential
4ccd942cbe34769278d11cfa6de65e89d4af5a8f,Private Method,org.apache.derbyTesting.junit.RuntimeStatisticsParser.findQualifiers(),testing/org/apache/derbyTesting/junit/RuntimeStatisticsParser.java,,,,,,,,,,,,,,,,,,,,,,,,,2,31,0,25,9,18,8,10,5,1,13,18,8,10,5,5,5,1,0,,,,,0,,4,0,,0.32
f3fc627f7444e44638dee3acf40c930156d70e09,Private Method,org.apache.derbyTesting.junit.RuntimeStatisticsParser.findQualifiers(),testing/org/apache/derbyTesting/junit/RuntimeStatisticsParser.java,,,,,,,,,,,,,,,,,,,,,,,,,2,31,0,25,9,18,8,10,5,1,13,18,8,10,5,5,5,1,0,,,,,0,,4,0,,0.32
8502b0e21d9f3814fbf138cf8c1c746ff521af7f,Private Method,org.apache.derbyTesting.junit.RuntimeStatisticsParser.findQualifiers(),testing/org/apache/derbyTesting/junit/RuntimeStatisticsParser.java,,,,,,,,,,,,,,,,,,,,,,,,,2,31,0,25,9,18,8,10,5,1,13,18,8,10,5,5,5,1,0,,,,,0,,4,0,,0.32
f3f7b1046f8e5132f0af3194ae635d2ea3896480,Private Method,org.apache.derbyTesting.junit.RuntimeStatisticsParser.findQualifiers(),testing/org/apache/derbyTesting/junit/RuntimeStatisticsParser.java,,,,,,,,,,,,,,,,,,,,,,,,,2,31,0,25,9,18,8,10,5,1,13,18,8,10,5,5,5,1,0,,,,,0,,4,0,,0.32
fc60dd5dfa84856bb89e86898892e13d6fd541b4,Private Method,org.apache.derbyTesting.junit.RuntimeStatisticsParser.findQualifiers(),testing/org/apache/derbyTesting/junit/RuntimeStatisticsParser.java,,,,,,,,,,,,,,,,,,,,,,,,,2,31,0,25,9,18,8,10,5,1,13,18,8,10,5,5,5,1,0,,,,,0,,4,0,,0.32
79e87e4eac23a888b12809275058a593dd0cd5f1,Private Method,org.apache.derbyTesting.junit.RuntimeStatisticsParser.findQualifiers(),testing/org/apache/derbyTesting/junit/RuntimeStatisticsParser.java,,,,,,,,,,,,,,,,,,,,,,,,,2,31,0,25,9,18,8,10,5,1,13,18,8,10,5,5,5,1,0,,,,,0,,4,0,,0.32
73e941a38f435d8d8ac74de3d0bd58150f339a07,Private Method,org.apache.derbyTesting.junit.RuntimeStatisticsParser.findQualifiers(),testing/org/apache/derbyTesting/junit/RuntimeStatisticsParser.java,,,,,,,,,,,,,,,,,,,,,,,,,2,31,0,25,9,18,8,10,5,1,13,18,8,10,5,5,5,1,0,,,,,0,,4,0,,0.32
91961a09c2af9b2447279f1043b9dc840ea92e2c,Private Method,org.apache.derbyTesting.junit.RuntimeStatisticsParser.findQualifiers(),testing/org/apache/derbyTesting/junit/RuntimeStatisticsParser.java,,,,,,,,,,,,,,,,,,,,,,,,,2,31,0,25,9,18,8,10,5,1,13,18,8,10,5,5,5,1,0,,,,,0,,4,0,,0.32
779485e20d4548e6992223c33975ec7b17422de0,Private Method,org.apache.derbyTesting.junit.RuntimeStatisticsParser.findQualifiers(),testing/org/apache/derbyTesting/junit/RuntimeStatisticsParser.java,,,,,,,,,,,,,,,,,,,,,,,,,2,31,0,25,9,18,8,10,5,1,13,18,8,10,5,5,5,1,0,,,,,0,,4,0,,0.32
dbf2aa220674d3976d7cdcf049fbe2c1748cef25,Private Method,org.apache.derbyTesting.junit.RuntimeStatisticsParser.findQualifiers(),testing/org/apache/derbyTesting/junit/RuntimeStatisticsParser.java,,,,,,,,,,,,,,,,,,,,,,,,,2,31,0,25,9,18,8,10,5,1,13,18,8,10,5,5,5,1,0,,,,,0,,4,0,,0.32
0036f7e8c3ba41e6e8d1c89ad822df9a4bf1dd33,Private Method,org.apache.derbyTesting.junit.RuntimeStatisticsParser.findQualifiers(),testing/org/apache/derbyTesting/junit/RuntimeStatisticsParser.java,,,,,,,,,,,,,,,,,,,,,,,,,2,31,0,25,9,18,8,10,5,1,13,18,8,10,5,5,5,1,0,,,,,0,,4,0,,0.32
23ea8c3756153e9d1b908e5553d9a16042bd159a,Private Method,org.apache.derbyTesting.junit.RuntimeStatisticsParser.findQualifiers(),testing/org/apache/derbyTesting/junit/RuntimeStatisticsParser.java,,,,,,,,,,,,,,,,,,,,,,,,,2,31,0,25,9,18,8,10,5,1,13,18,8,10,5,5,5,1,0,,,,,0,,4,0,,0.32
5ab142cfb5f57fd20480a9a723904dda04d1425f,Private Method,org.apache.derbyTesting.junit.RuntimeStatisticsParser.findQualifiers(),testing/org/apache/derbyTesting/junit/RuntimeStatisticsParser.java,,,,,,,,,,,,,,,,,,,,,,,,,2,31,0,25,9,18,8,10,5,1,13,18,8,10,5,5,5,1,0,,,,,0,,4,0,,0.32
f0729c3596d79bbac5edadd7dc71040eea6d35dc,Private Method,org.apache.derbyTesting.junit.RuntimeStatisticsParser.findQualifiers(),testing/org/apache/derbyTesting/junit/RuntimeStatisticsParser.java,,,,,,,,,,,,,,,,,,,,,,,,,2,31,0,25,9,18,8,10,5,1,13,18,8,10,5,5,5,1,0,,,,,0,,4,0,,0.32
a2f1440b40266e541e4e3ac754dda06c0150a0c3,Private Method,org.apache.derbyTesting.junit.RuntimeStatisticsParser.findQualifiers(),testing/org/apache/derbyTesting/junit/RuntimeStatisticsParser.java,,,,,,,,,,,,,,,,,,,,,,,,,2,31,0,25,9,18,8,10,5,1,13,18,8,10,5,5,5,1,0,,,,,0,,4,0,,0.32
f9c58a5b141e69239947053896e2c6918af1f931,Private Method,org.apache.derbyTesting.junit.RuntimeStatisticsParser.findQualifiers(),testing/org/apache/derbyTesting/junit/RuntimeStatisticsParser.java,,,,,,,,,,,,,,,,,,,,,,,,,2,31,0,25,9,18,8,10,5,1,13,18,8,10,5,5,5,1,0,,,,,0,,4,0,,0.32
a0101c06756a3ad9ae6ea322d1a15062c411e887,Private Method,org.apache.derbyTesting.junit.RuntimeStatisticsParser.findQualifiers(),testing/org/apache/derbyTesting/junit/RuntimeStatisticsParser.java,,,,,,,,,,,,,,,,,,,,,,,,,2,31,0,25,9,18,8,10,5,1,13,18,8,10,5,5,5,1,0,,,,,0,,4,0,,0.32
30b20032a88119ede85f3179c4d730cfb7df5b85,Private Method,org.apache.derbyTesting.junit.RuntimeStatisticsParser.findQualifiers(),testing/org/apache/derbyTesting/junit/RuntimeStatisticsParser.java,,,,,,,,,,,,,,,,,,,,,,,,,2,31,0,25,9,18,8,10,5,1,13,18,8,10,5,5,5,1,0,,,,,0,,4,0,,0.32
8a90921811bccff7c5be20feba6d105b4d50eab2,Private Method,org.apache.derbyTesting.junit.RuntimeStatisticsParser.findQualifiers(),testing/org/apache/derbyTesting/junit/RuntimeStatisticsParser.java,,,,,,,,,,,,,,,,,,,,,,,,,2,31,0,25,9,18,8,10,5,1,13,18,8,10,5,5,5,1,0,,,,,0,,4,0,,0.32
4c8dd2c769c2bacedb578bf7b6630a4f29a21f91,Private Method,org.apache.derbyTesting.junit.RuntimeStatisticsParser.findQualifiers(),testing/org/apache/derbyTesting/junit/RuntimeStatisticsParser.java,,,,,,,,,,,,,,,,,,,,,,,,,2,31,0,25,9,18,8,10,5,1,13,18,8,10,5,5,5,1,0,,,,,0,,4,0,,0.32
55823f25cecf90d31be014be52437592f662286b,Private Method,org.apache.derbyTesting.junit.RuntimeStatisticsParser.findQualifiers(),testing/org/apache/derbyTesting/junit/RuntimeStatisticsParser.java,,,,,,,,,,,,,,,,,,,,,,,,,2,31,0,25,9,18,8,10,5,1,13,18,8,10,5,5,5,1,0,,,,,0,,4,0,,0.32
dfe1db2156cca18f5b265a1b5d45764558de623d,Private Method,org.apache.derbyTesting.junit.RuntimeStatisticsParser.findQualifiers(),testing/org/apache/derbyTesting/junit/RuntimeStatisticsParser.java,,,,,,,,,,,,,,,,,,,,,,,,,2,31,0,25,9,18,8,10,5,1,13,18,8,10,5,5,5,1,0,,,,,0,,4,0,,0.32
a6351a4863a859e29e616416f0cfe0ed584fc2ab,Private Method,org.apache.derbyTesting.junit.RuntimeStatisticsParser.findQualifiers(),testing/org/apache/derbyTesting/junit/RuntimeStatisticsParser.java,,,,,,,,,,,,,,,,,,,,,,,,,2,31,0,25,9,18,8,10,5,1,13,18,8,10,5,5,5,1,0,,,,,0,,4,0,,0.32
614eb2345c795dc7003c1251516ec89262472f26,Private Method,org.apache.derbyTesting.junit.RuntimeStatisticsParser.findQualifiers(),testing/org/apache/derbyTesting/junit/RuntimeStatisticsParser.java,,,,,,,,,,,,,,,,,,,,,,,,,2,31,0,25,9,18,8,10,5,1,13,18,8,10,5,5,5,1,0,,,,,0,,4,0,,0.32
5b60acf59de26b5b1520cbe420aff809a0ed6d51,Private Method,org.apache.derbyTesting.junit.RuntimeStatisticsParser.findQualifiers(),testing/org/apache/derbyTesting/junit/RuntimeStatisticsParser.java,,,,,,,,,,,,,,,,,,,,,,,,,2,31,0,25,9,18,8,10,5,1,13,18,8,10,5,5,5,1,0,,,,,0,,4,0,,0.32
74d4f4be0ea2453a8d58c5f5b1d6238b410a927a,Private Method,org.apache.derbyTesting.junit.RuntimeStatisticsParser.findQualifiers(),testing/org/apache/derbyTesting/junit/RuntimeStatisticsParser.java,,,,,,,,,,,,,,,,,,,,,,,,,2,31,0,25,9,18,8,10,5,1,13,18,8,10,5,5,5,1,0,,,,,0,,4,0,,0.32
51f0d4083a05fab9dea37063e750f88f75eb9961,Private Method,org.apache.derbyTesting.junit.RuntimeStatisticsParser.findQualifiers(),testing/org/apache/derbyTesting/junit/RuntimeStatisticsParser.java,,,,,,,,,,,,,,,,,,,,,,,,,2,31,0,25,9,18,8,10,5,1,13,18,8,10,5,5,5,1,0,,,,,0,,4,0,,0.32
e970fefcff30b6e17e00a427a7ac876ddc206b7d,Private Method,org.apache.derbyTesting.junit.RuntimeStatisticsParser.findQualifiers(),testing/org/apache/derbyTesting/junit/RuntimeStatisticsParser.java,,,,,,,,,,,,,,,,,,,,,,,,,2,31,0,25,9,18,8,10,5,1,13,18,8,10,5,5,5,1,0,,,,,0,,4,0,,0.32
3feae5553fe59994f9be1f0b3349c8b1f0005f9e,Private Method,org.apache.derbyTesting.junit.RuntimeStatisticsParser.findQualifiers(),testing/org/apache/derbyTesting/junit/RuntimeStatisticsParser.java,,,,,,,,,,,,,,,,,,,,,,,,,2,31,0,25,9,18,8,10,5,1,13,18,8,10,5,5,5,1,0,,,,,0,,4,0,,0.32
